Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,location,lat,lng
1159,HILWOOSN,HILLSBORO PIKE & WOODMONT BLVD SB,FALSE,TRUE,7,HILLSBORO,"(36.220147, -86.825067)",36.220147,-86.825067
4554,GXO7AVEF,MAIN STREET STATION OUTBOUND,FALSE,FALSE,"26,56",GALLATIN PIKE,"(36.082537, -86.652286)",36.082537,-86.652286
5098,H70FOREM,HWY 70 & FOREST PARK APARTMENTS EB,FALSE,FALSE,5,WEST END - BELLEVUE,"(36.074087, -86.731757)",36.074087,-86.731757
884,EWIHILWN,EWING DR & HILL HURST DR WB,FALSE,FALSE,23,DICKERSON ROAD,"(36.13583, -86.885179)",36.13583,-86.885179
5144,PORMC_SF,PORTER RD & MCKENNIE AVE SB,FALSE,FALSE,4,SHELBY,"(36.152481, -86.773315)",36.152481,-86.773315
95,18AACKSN,18TH AVE S & ACKLEN AVE SB,FALSE,TRUE,"2,21",BELMONT,"(36.088347, -86.751842)",36.088347,-86.751842
1337,LEBBONSF,LEBANON PIKE & BONNA SPRINGS DR SB,FALSE,FALSE,6,LEBANON PIKE,"(36.12615, -86.765965)",36.12615,-86.765965
2042,HARWOOEM,HARDING PIKE & WOODLAWN DR EB,TRUE,TRUE,"3,5",WEST END - WHITE BRIDGE,"(36.171969, -86.764564)",36.171969,-86.764564
4197,MCSHERM,MUSIC CITY STAR HERMITAGE STATION,TRUE,TRUE,"27,6",LEBANON PIKE,"(36.03968, -86.755692)",36.03968,-86.755692
664,ELL22AWN,ELLISTON PL & 22ND AVE N WB,FALSE,FALSE,10,CHARLOTTE,"(36.198195, -86.754837)",36.198195,-86.754837
2941,GALCRAW,GALE LN & CRAIG AVE WB,FALSE,FALSE,8,8TH AVENUE SOUTH,"(36.213706, -86.764598)",36.213706,-86.764598
1339,LEBSTOWM,LEBANON PIKE & STONES RIVER RD WB,FALSE,TRUE,6,LEBANON PIKE,"(36.10454, -86.814989)",36.10454,-86.814989
4886,JACANDEN,ANDREW JACKSON PKWY & ANDREW JACKSON WAY EB,FALSE,FALSE,27,OLD HICKORY,"(36.175428, -86.792952)",36.175428,-86.792952
5130,SHEROSEN,SHERIDAN RD & ROSEBANK AVE EB,FALSE,FALSE,4,SHELBY,"(36.049469, -86.65147)",36.049469,-86.65147
3189,FERBRIWN,FERN AVE & BRICK CHURCH PK WB,FALSE,FALSE,14,WHITES CREEK,"(36.161991, -86.775075)",36.161991,-86.775075
2207,BRACRASN,BRANSFORD AVE & CRAIGHEAD ST SB,FALSE,FALSE,1,100 OAKS,"(36.257808, -86.681733)",36.257808,-86.681733
